contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
nmeningitidis / paeruginosa,C->T,1.463205152631927,0.3765387201219753,Inf,1,1.4791010356683325,1,FALSE,ns
nmeningitidis / sagalactiae,C->T,0.39579182916712236,0.10192893422761189,Inf,1,-3.5990402971998847,0.02906482664096663,TRUE,*
nmeningitidis / saureus,C->T,0.3126254923845124,0.080438706777998,Inf,1,-4.519031839456314,5.65319782332902e-4,TRUE,***
nmeningitidis / sepidermidis,C->T,0.36623441405404006,0.09426127125481072,Inf,1,-3.9027243404337253,0.008655556823671534,TRUE,**
nmeningitidis / spneumoniae,C->T,0.753463919432885,0.19428544360597022,Inf,1,-1.0977979183438897,1,FALSE,ns
paeruginosa / sagalactiae,C->T,0.2704964703378712,0.06955103874854757,Inf,1,-5.085087461052174,3.343855974022947e-5,TRUE,***
paeruginosa / saureus,C->T,0.21365800402095372,0.054887059003661115,Inf,1,-6.007886170692113,1.710415276081139e-7,TRUE,***
paeruginosa / sepidermidis,C->T,0.25029601173511395,0.06431889885421774,Inf,1,-5.390138341035501,6.4067153541056525e-6,TRUE,***
paeruginosa / spneumoniae,C->T,0.5149407231635281,0.13257088401244335,Inf,1,-2.5780016131373986,0.904299159892572,FALSE,ns
sagalactiae / saureus,C->T,0.7898735379211351,0.20306531413857046,Inf,1,-0.9175239321007881,1,FALSE,ns
sagalactiae / sepidermidis,C->T,0.9253208051937785,0.23796012198419395,Inf,1,-0.3018092901888352,1,FALSE,ns
sagalactiae / spneumoniae,C->T,1.903687403093752,0.49047004862882787,Inf,1,2.4987869087688335,1,FALSE,ns
saureus / sepidermidis,C->T,1.1714796872789617,0.30099238607905693,Inf,1,0.6159867614261757,1,FALSE,ns
saureus / spneumoniae,C->T,2.410116698052778,0.6203907670828347,Inf,1,3.4173942063274434,0.057533531436972415,FALSE,ns
sepidermidis / spneumoniae,C->T,2.0573269210077756,0.5297413742719314,Inf,1,2.8016900369499984,0.46260478498577645,FALSE,ns
styphimurium / bpertussis,T->A,3.0124228125135772,0.9145729494756804,Inf,1,3.632223345906916,0.025570067745345208,TRUE,*
styphimurium / cjejuni,T->A,0.7720857317888513,0.21624601720318662,Inf,1,-0.9235196729470071,1,FALSE,ns
styphimurium / ecoli,T->A,0.12255118693909549,0.03248790881133734,Inf,1,-7.918721353428303,2.183685506447794e-13,TRUE,***
styphimurium / hinfluenzae,T->A,0.6519339223601696,0.17942262373159737,Inf,1,-1.5544594873054922,1,FALSE,ns
styphimurium / kpneumoniae,T->A,0.05887759672021624,0.015576517245110633,Inf,1,-10.705775746972696,8.701997094876985e-25,TRUE,***
styphimurium / lmonocytogenesA,T->A,0.18913461110698626,0.05035789071078528,Inf,1,-6.254534525172929,3.62819964191991e-8,TRUE,***
styphimurium / mtuberculosis,T->A,0.2926957067613523,0.07856947398303035,Inf,1,-4.576997835624098,4.292436679295297e-4,TRUE,***
styphimurium / nmeningitidis,T->A,2.8831861354852553,0.8818064590633047,Inf,1,3.462204405740947,0.048755077389669596,TRUE,*
styphimurium / paeruginosa,T->A,0.3133384904740633,0.08356887979349405,Inf,1,-4.351144893426682,0.0012323995055913725,TRUE,**
styphimurium / sagalactiae,T->A,0.23541034803979774,0.06299271501142509,Inf,1,-5.405441600682927,5.883051063048897e-6,TRUE,***
styphimurium / saureus,T->A,0.1246746670089367,0.03307194085522186,Inf,1,-7.848907089151635,3.819073213895179e-13,TRUE,***
styphimurium / sepidermidis,T->A,0.10072271867677575,0.0267002123569609,Inf,1,-8.659006282075332,4.3306408524095237e-16,TRUE,***
styphimurium / spneumoniae,T->A,0.5615089534574143,0.15282616462007872,Inf,1,-2.12046342099762,1,FALSE,ns
bpertussis / cjejuni,T->A,0.2563005858877493,0.07974608689313584,Inf,1,-4.375496636982634,0.0011025224224405674,TRUE,**
bpertussis / ecoli,T->A,0.04068193429887034,0.01211420351776916,Inf,1,-10.75286378989915,5.227924116166077e-25,TRUE,***
bpertussis / hinfluenzae,T->A,0.21641514585935345,0.0663961843796202,Inf,1,-4.9887755474157585,5.5294507791188116e-5,TRUE,***
bpertussis / kpneumoniae,T->A,0.019544931234632548,0.005810708079686301,Inf,1,-13.235920894890523,4.952722652489612e-38,TRUE,***
bpertussis / lmonocytogenesA,T->A,0.06278488209600684,0.01876047317073712,Inf,1,-9.263685626190805,1.7972014859720756e-18,TRUE,***
bpertussis / mtuberculosis,T->A,0.09716289013132455,0.029220937269754946,Inf,1,-7.752054567035216,8.227994192233513e-13,TRUE,***
bpertussis / nmeningitidis,T->A,0.9570987590150115,0.32019044617111886,Inf,1,-0.13107053443278818,1,FALSE,ns
bpertussis / paeruginosa,T->A,0.10401544204633495,0.031122085415680546,Inf,1,-7.564062630897868,3.5551104767167233e-12,TRUE,***
bpertussis / sagalactiae,T->A,0.07814651617359465,0.023443240055106482,Inf,1,-8.497491757921932,1.7629544014377848e-15,TRUE,***
bpertussis / saureus,T->A,0.041386842010038984,0.012330356199778446,Inf,1,-10.689755637587918,1.034397630513096e-24,TRUE,***
bpertussis / sepidermidis,T->A,0.03343578406669027,0.009956172637368726,Inf,1,-11.411924777238594,3.3176007559651973e-28,TRUE,***
bpertussis / spneumoniae,T->A,0.18639778955494266,0.056679661290541056,Inf,1,-5.52445911436193,3.0075698924586754e-6,TRUE,***
cjejuni / ecoli,T->A,0.1587274338759709,0.04345237342209935,Inf,1,-6.723417435070611,1.6153509034062504e-9,TRUE,***
cjejuni / hinfluenzae,T->A,0.844380222970445,0.23942248815315348,Inf,1,-0.5965560269427022,1,FALSE,ns
cjejuni / kpneumoniae,T->A,0.07625784844359483,0.020836217169377936,Inf,1,-9.419169587502942,4.1374930041290037e-19,TRUE,***
cjejuni / lmonocytogenesA,T->A,0.24496581573755913,0.067334422838818,Inf,1,-5.117410516825784,2.818806350513063e-5,TRUE,***
cjejuni / mtuberculosis,T->A,0.37909741717827555,0.10500186367671878,Inf,1,-3.5019389412692457,0.042031576516097874,TRUE,*
cjejuni / nmeningitidis,T->A,3.7342823688830244,1.1701680304012003,Inf,1,4.204631091927407,0.002379725858391532,TRUE,**
cjejuni / paeruginosa,T->A,0.4058338052020298,0.11172954217629358,Inf,1,-3.2756387055226974,0.09593523187523333,FALSE,ns
cjejuni / sagalactiae,T->A,0.3049018241722636,0.08420216959866333,Inf,1,-4.300980030881968,0.0015474039048299665,TRUE,**
cjejuni / saureus,T->A,0.1614777503012224,0.04423178347534061,Inf,1,-6.6566743477448735,2.548844793767507e-9,TRUE,***
cjejuni / sepidermidis,T->A,0.13045535557743113,0.03571152841417712,Inf,1,-7.440218699614775,9.14720596836428e-12,TRUE,***
cjejuni / spneumoniae,T->A,0.7272624403464235,0.20406939431621518,Inf,1,-1.134955710827223,1,FALSE,ns
ecoli / hinfluenzae,T->A,5.3196867255489115,1.429761207453652,Inf,1,6.218801456060888,4.5587971479524593e-8,TRUE,***
ecoli / kpneumoniae,T->A,0.4804326925815638,0.12387312788426191,Inf,1,-2.8431501288794316,0.4064972146904772,FALSE,ns
ecoli / lmonocytogenesA,T->A,1.5433111325227786,0.4006104967468479,Inf,1,1.6716718736019478,1,FALSE,ns
ecoli / mtuberculosis,T->A,2.388354728108948,0.6253096138697702,Inf,1,3.3252534081366014,0.08038776633785273,FALSE,ns
ecoli / nmeningitidis,T->A,23.5263827915279,7.059258468789166,Inf,1,10.52507119622945,6.025234839812567e-24,TRUE,***
ecoli / paeruginosa,T->A,2.5567968642342382,0.6648717873438555,Inf,1,3.6100290695885136,0.02786080489260819,TRUE,*
ecoli / sagalactiae,T->A,1.9209144678198025,0.5012550668749411,Inf,1,2.5016716159375565,1,FALSE,ns
ecoli / saureus,T->A,1.0173272909294342,0.2630438114208414,Inf,1,0.06643968824748812,1,FALSE,ns
ecoli / sepidermidis,T->A,0.821882849056632,0.21235740889460236,Inf,1,-0.7591843142775274,1,FALSE,ns
ecoli / spneumoniae,T->A,4.581832028574871,1.21714693781708,Inf,1,5.729794313010035,9.150276182608693e-7,TRUE,***
hinfluenzae / kpneumoniae,T->A,0.09031221524271064,0.024225036317879287,Inf,1,-8.964037993083592,2.848309775149278e-17,TRUE,***
hinfluenzae / lmonocytogenesA,T->A,0.2901131611962605,0.07830416108214414,Inf,1,-4.584819687104955,4.1348432917228994e-4,TRUE,***
hinfluenzae / mtuberculosis,T->A,0.44896529651612255,0.12214460287939326,Inf,1,-2.9435255355556156,0.2952923175214946,FALSE,ns
